Nome,Número,Peso,Altura,Tipos,Habilidades,Habilidades Descrição,Habilidades URL,Url Pokémon,Evoluções,Evoluções Número,Evoluções URL
Ferroseed,0597,18.8 kg (41.4 lbs),0.6 m (2′00″),"Grass,Steel",Iron Barbs, Inflicts damage to the Pokémon on contact., https://pokemondb.net//ability/iron-barbs,https://pokemondb.net/pokedex/ferroseed,Ferrothorn, #0598, https://pokemondb.net//pokedex/ferrothorn
Galvantula,0596,14.3 kg (31.5 lbs),0.8 m (2′07″),"Bug,Electric","Compound Eyes,Unnerve,Swarm"," The Pokémon's accuracy is boosted., Makes the foe nervous and unable to eat Berries., Powers up Bug-type moves in a pinch."," https://pokemondb.net//ability/compound-eyes, https://pokemondb.net//ability/unnerve, https://pokemondb.net//ability/swarm",https://pokemondb.net/pokedex/galvantula,,,
Joltik,0595,0.6 kg (1.3 lbs),0.1 m (0′04″),"Bug,Electric","Compound Eyes,Unnerve,Swarm"," The Pokémon's accuracy is boosted., Makes the foe nervous and unable to eat Berries., Powers up Bug-type moves in a pinch."," https://pokemondb.net//ability/compound-eyes, https://pokemondb.net//ability/unnerve, https://pokemondb.net//ability/swarm",https://pokemondb.net/pokedex/joltik,Galvantula, #0596, https://pokemondb.net//pokedex/galvantula
Cryogonal,0615,148.0 kg (326.3 lbs),1.1 m (3′07″),Ice,Levitate, Gives immunity to Ground type moves., https://pokemondb.net//ability/levitate,https://pokemondb.net/pokedex/cryogonal,,,
Beartic,0614,260.0 kg (573.2 lbs),2.6 m (8′06″),Ice,"Snow Cloak,Slush Rush,Swift Swim"," Raises evasion in a hailstorm., Boosts the Pokémon's Speed stat in a hailstorm., Boosts the Pokémon's Speed in rain."," https://pokemondb.net//ability/snow-cloak, https://pokemondb.net//ability/slush-rush, https://pokemondb.net//ability/swift-swim",https://pokemondb.net/pokedex/beartic,,,
Bisharp,0625,70.0 kg (154.3 lbs),1.6 m (5′03″),"Dark,Steel","Defiant,Inner Focus,Pressure"," Sharply raises Attack when the Pokémon's stats are lowered., The Pokémon is protected from flinching., The Pokémon raises the foe's PP usage."," https://pokemondb.net//ability/defiant, https://pokemondb.net//ability/inner-focus, https://pokemondb.net//ability/pressure",https://pokemondb.net/pokedex/bisharp,Kingambit, #0983," https://pokemondb.net//pokedex/bisharp, https://pokemondb.net//pokedex/kingambit"
Pawniard,0624,10.2 kg (22.5 lbs),0.5 m (1′08″),"Dark,Steel","Defiant,Inner Focus,Pressure"," Sharply raises Attack when the Pokémon's stats are lowered., The Pokémon is protected from flinching., The Pokémon raises the foe's PP usage."," https://pokemondb.net//ability/defiant, https://pokemondb.net//ability/inner-focus, https://pokemondb.net//ability/pressure",https://pokemondb.net/pokedex/pawniard,"Bisharp,Kingambit"," #0625, #0983"," https://pokemondb.net//pokedex/bisharp, https://pokemondb.net//pokedex/kingambit"
Golurk,0623,330.0 kg (727.5 lbs),2.8 m (9′02″),"Ground,Ghost","Iron Fist,Klutz,No Guard"," Boosts the power of punching moves., The Pokémon can't use any held items., Ensures attacks by or against the Pokémon land."," https://pokemondb.net//ability/iron-fist, https://pokemondb.net//ability/klutz, https://pokemondb.net//ability/no-guard",https://pokemondb.net/pokedex/golurk,,,
Golett,0622,92.0 kg (202.8 lbs),1.0 m (3′03″),"Ground,Ghost","Iron Fist,Klutz,No Guard"," Boosts the power of punching moves., The Pokémon can't use any held items., Ensures attacks by or against the Pokémon land."," https://pokemondb.net//ability/iron-fist, https://pokemondb.net//ability/klutz, https://pokemondb.net//ability/no-guard",https://pokemondb.net/pokedex/golett,Golurk, #0623, https://pokemondb.net//pokedex/golurk
Druddigon,0621,139.0 kg (306.4 lbs),1.6 m (5′03″),Dragon,"Rough Skin,Sheer Force,Mold Breaker"," Inflicts damage to the attacker on contact., Removes added effects to increase move damage., Moves can be used regardless of Abilities."," https://pokemondb.net//ability/rough-skin, https://pokemondb.net//ability/sheer-force, https://pokemondb.net//ability/mold-breaker",https://pokemondb.net/pokedex/druddigon,,,
Mienshao,0620,35.5 kg (78.3 lbs),1.4 m (4′07″),Fighting,"Inner Focus,Regenerator,Reckless"," The Pokémon is protected from flinching., Restores a little HP when withdrawn from battle., Powers up moves that have recoil damage."," https://pokemondb.net//ability/inner-focus, https://pokemondb.net//ability/regenerator, https://pokemondb.net//ability/reckless",https://pokemondb.net/pokedex/mienshao,,,
Reshiram,0643,330.0 kg (727.5 lbs),3.2 m (10′06″),"Dragon,Fire",Turboblaze, Moves can be used regardless of Abilities., https://pokemondb.net//ability/turboblaze,https://pokemondb.net/pokedex/reshiram,,,
Thundurus,0642,61.0 kg (134.5 lbs),1.5 m (4′11″),"Electric,Flying","Prankster,Defiant,Volt Absorb"," Gives priority to a status move., Sharply raises Attack when the Pokémon's stats are lowered., Restores HP if hit by an Electric-type move."," https://pokemondb.net//ability/prankster, https://pokemondb.net//ability/defiant, https://pokemondb.net//ability/volt-absorb",https://pokemondb.net/pokedex/thundurus,,,
Kyurem,0646,325.0 kg (716.5 lbs),3.0 m (9′10″),"Dragon,Ice","Pressure,Turboblaze,Teravolt"," The Pokémon raises the foe's PP usage., Moves can be used regardless of Abilities., Moves can be used regardless of Abilities."," https://pokemondb.net//ability/pressure, https://pokemondb.net//ability/turboblaze, https://pokemondb.net//ability/teravolt",https://pokemondb.net/pokedex/kyurem,,,
Landorus,0645,68.0 kg (149.9 lbs),1.5 m (4′11″),"Ground,Flying","Sand Force,Sheer Force,Intimidate"," Boosts certain moves' power in a sandstorm., Removes added effects to increase move damage., Lowers the foe's Attack stat."," https://pokemondb.net//ability/sand-force, https://pokemondb.net//ability/sheer-force, https://pokemondb.net//ability/intimidate",https://pokemondb.net/pokedex/landorus,,,
Zekrom,0644,345.0 kg (760.6 lbs),2.9 m (9′06″),"Dragon,Electric",Teravolt, Moves can be used regardless of Abilities., https://pokemondb.net//ability/teravolt,https://pokemondb.net/pokedex/zekrom,,,
Tornadus,0641,63.0 kg (138.9 lbs),1.5 m (4′11″),Flying,"Prankster,Defiant,Regenerator"," Gives priority to a status move., Sharply raises Attack when the Pokémon's stats are lowered., Restores a little HP when withdrawn from battle."," https://pokemondb.net//ability/prankster, https://pokemondb.net//ability/defiant, https://pokemondb.net//ability/regenerator",https://pokemondb.net/pokedex/tornadus,,,
Virizion,0640,200.0 kg (440.9 lbs),2.0 m (6′07″),"Grass,Fighting",Justified, Raises Attack when hit by a Dark-type move., https://pokemondb.net//ability/justified,https://pokemondb.net/pokedex/virizion,,,
Terrakion,0639,260.0 kg (573.2 lbs),1.9 m (6′03″),"Rock,Fighting",Justified, Raises Attack when hit by a Dark-type move., https://pokemondb.net//ability/justified,https://pokemondb.net/pokedex/terrakion,,,
Keldeo,0647,48.5 kg (106.9 lbs),1.4 m (4′07″),"Water,Fighting","Justified,Justified"," Raises Attack when hit by a Dark-type move., Raises Attack when hit by a Dark-type move."," https://pokemondb.net//ability/justified, https://pokemondb.net//ability/justified",https://pokemondb.net/pokedex/keldeo,,,
Cobalion,0638,250.0 kg (551.2 lbs),2.1 m (6′11″),"Steel,Fighting",Justified, Raises Attack when hit by a Dark-type move., https://pokemondb.net//ability/justified,https://pokemondb.net/pokedex/cobalion,,,
Fletchling,0661,1.7 kg (3.7 lbs),0.3 m (1′00″),"Normal,Flying","Big Pecks,Gale Wings"," Protects the Pokémon from Defense-lowering attacks., Gives priority to Flying-type moves."," https://pokemondb.net//ability/big-pecks, https://pokemondb.net//ability/gale-wings",https://pokemondb.net/pokedex/fletchling,"Fletchinder,Talonflame"," #0662, #0663"," https://pokemondb.net//pokedex/fletchinder, https://pokemondb.net//pokedex/talonflame"
Diggersby,0660,42.4 kg (93.5 lbs),1.0 m (3′03″),"Normal,Ground","Pickup,Cheek Pouch,Huge Power"," The Pokémon may pick up items., Restores additional HP when a Berry is consumed., Raises the Pokémon's Attack stat."," https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/cheek-pouch, https://pokemondb.net//ability/huge-power",https://pokemondb.net/pokedex/diggersby,,,
Bunnelby,0659,5.0 kg (11.0 lbs),0.4 m (1′04″),Normal,"Pickup,Cheek Pouch,Huge Power"," The Pokémon may pick up items., Restores additional HP when a Berry is consumed., Raises the Pokémon's Attack stat."," https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/cheek-pouch, https://pokemondb.net//ability/huge-power",https://pokemondb.net/pokedex/bunnelby,Diggersby, #0660, https://pokemondb.net//pokedex/diggersby
Greninja,0658,40.0 kg (88.2 lbs),1.5 m (4′11″),"Water,Dark","Torrent,Protean,Battle Bond"," Powers up Water-type moves in a pinch., Changes the Pokémon's type to its last used move., Transform into Ash-Greninja after causing opponent to faint."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/protean, https://pokemondb.net//ability/battle-bond",https://pokemondb.net/pokedex/greninja,,,
Frogadier,0657,10.9 kg (24.0 lbs),0.6 m (2′00″),Water,"Torrent,Protean"," Powers up Water-type moves in a pinch., Changes the Pokémon's type to its last used move."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/protean",https://pokemondb.net/pokedex/frogadier,Greninja, #0658," https://pokemondb.net//pokedex/frogadier, https://pokemondb.net//pokedex/greninja"
Froakie,0656,7.0 kg (15.4 lbs),0.3 m (1′00″),Water,"Torrent,Protean"," Powers up Water-type moves in a pinch., Changes the Pokémon's type to its last used move."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/protean",https://pokemondb.net/pokedex/froakie,"Frogadier,Greninja"," #0657, #0658"," https://pokemondb.net//pokedex/frogadier, https://pokemondb.net//pokedex/greninja"
Pangoro,0675,136.0 kg (299.8 lbs),2.1 m (6′11″),"Fighting,Dark","Iron Fist,Mold Breaker,Scrappy"," Boosts the power of punching moves., Moves can be used regardless of Abilities., Enables moves to hit Ghost-type Pokémon."," https://pokemondb.net//ability/iron-fist, https://pokemondb.net//ability/mold-breaker, https://pokemondb.net//ability/scrappy",https://pokemondb.net/pokedex/pangoro,,,
Pancham,0674,8.0 kg (17.6 lbs),0.6 m (2′00″),Fighting,"Iron Fist,Mold Breaker,Scrappy"," Boosts the power of punching moves., Moves can be used regardless of Abilities., Enables moves to hit Ghost-type Pokémon."," https://pokemondb.net//ability/iron-fist, https://pokemondb.net//ability/mold-breaker, https://pokemondb.net//ability/scrappy",https://pokemondb.net/pokedex/pancham,Pangoro, #0675, https://pokemondb.net//pokedex/pangoro
Dragalge,0691,81.5 kg (179.7 lbs),1.8 m (5′11″),"Poison,Dragon","Poison Point,Poison Touch,Adaptability"," Contact with the Pokémon may poison the attacker., May poison targets when a Pokémon makes contact., Powers up moves of the same type."," https://pokemondb.net//ability/poison-point, https://pokemondb.net//ability/poison-touch, https://pokemondb.net//ability/adaptability",https://pokemondb.net/pokedex/dragalge,,,
Skrelp,0690,7.3 kg (16.1 lbs),0.5 m (1′08″),"Poison,Water","Poison Point,Poison Touch,Adaptability"," Contact with the Pokémon may poison the attacker., May poison targets when a Pokémon makes contact., Powers up moves of the same type."," https://pokemondb.net//ability/poison-point, https://pokemondb.net//ability/poison-touch, https://pokemondb.net//ability/adaptability",https://pokemondb.net/pokedex/skrelp,Dragalge, #0691, https://pokemondb.net//pokedex/dragalge
Barbaracle,0689,96.0 kg (211.6 lbs),1.3 m (4′03″),"Rock,Water","Sniper,Tough Claws,Pickpocket"," Powers up moves if they become critical hits., Boosts the power of contact moves., Steals an item when hit by another Pokémon."," https://pokemondb.net//ability/sniper, https://pokemondb.net//ability/tough-claws, https://pokemondb.net//ability/pickpocket",https://pokemondb.net/pokedex/barbaracle,,,
Binacle,0688,31.0 kg (68.3 lbs),0.5 m (1′08″),"Rock,Water","Sniper,Tough Claws,Pickpocket"," Powers up moves if they become critical hits., Boosts the power of contact moves., Steals an item when hit by another Pokémon."," https://pokemondb.net//ability/sniper, https://pokemondb.net//ability/tough-claws, https://pokemondb.net//ability/pickpocket",https://pokemondb.net/pokedex/binacle,Barbaracle, #0689, https://pokemondb.net//pokedex/barbaracle
Malamar,0687,47.0 kg (103.6 lbs),1.5 m (4′11″),"Dark,Psychic","Contrary,Suction Cups,Infiltrator"," Makes stat changes have an opposite effect., Negates all moves that force switching out., Passes through the foe's barrier and strikes."," https://pokemondb.net//ability/contrary, https://pokemondb.net//ability/suction-cups, https://pokemondb.net//ability/infiltrator",https://pokemondb.net/pokedex/malamar,,,
Inkay,0686,3.5 kg (7.7 lbs),0.4 m (1′04″),"Dark,Psychic","Contrary,Suction Cups,Infiltrator"," Makes stat changes have an opposite effect., Negates all moves that force switching out., Passes through the foe's barrier and strikes."," https://pokemondb.net//ability/contrary, https://pokemondb.net//ability/suction-cups, https://pokemondb.net//ability/infiltrator",https://pokemondb.net/pokedex/inkay,Malamar, #0687, https://pokemondb.net//pokedex/malamar
Aurorus,0699,225.0 kg (496.0 lbs),2.7 m (8′10″),"Rock,Ice","Refrigerate,Snow Warning"," Turns Normal-type moves into Ice-type moves., The Pokémon summons a hailstorm in battle."," https://pokemondb.net//ability/refrigerate, https://pokemondb.net//ability/snow-warning",https://pokemondb.net/pokedex/aurorus,,,
Amaura,0698,25.2 kg (55.6 lbs),1.3 m (4′03″),"Rock,Ice","Refrigerate,Snow Warning"," Turns Normal-type moves into Ice-type moves., The Pokémon summons a hailstorm in battle."," https://pokemondb.net//ability/refrigerate, https://pokemondb.net//ability/snow-warning",https://pokemondb.net/pokedex/amaura,Aurorus, #0699, https://pokemondb.net//pokedex/aurorus
Goodra,0706,150.5 kg (331.8 lbs),2.0 m (6′07″),Dragon,"Sap Sipper,Hydration,Gooey,Sap Sipper,Shell Armor,Gooey"," Boosts Attack when hit by a Grass-type move., Heals status problems if it is raining., Contact with the Pokémon lowers the attacker's Speed stat., Boosts Attack when hit by a Grass-type move., The Pokémon is protected against critical hits., Contact with the Pokémon lowers the attacker's Speed stat."," https://pokemondb.net//ability/sap-sipper, https://pokemondb.net//ability/hydration, https://pokemondb.net//ability/gooey, https://pokemondb.net//ability/sap-sipper, https://pokemondb.net//ability/shell-armor, https://pokemondb.net//ability/gooey",https://pokemondb.net/pokedex/goodra,,,
Sliggoo,0705,17.5 kg (38.6 lbs),0.8 m (2′07″),Dragon,"Sap Sipper,Hydration,Gooey,Sap Sipper,Shell Armor,Gooey"," Boosts Attack when hit by a Grass-type move., Heals status problems if it is raining., Contact with the Pokémon lowers the attacker's Speed stat., Boosts Attack when hit by a Grass-type move., The Pokémon is protected against critical hits., Contact with the Pokémon lowers the attacker's Speed stat."," https://pokemondb.net//ability/sap-sipper, https://pokemondb.net//ability/hydration, https://pokemondb.net//ability/gooey, https://pokemondb.net//ability/sap-sipper, https://pokemondb.net//ability/shell-armor, https://pokemondb.net//ability/gooey",https://pokemondb.net/pokedex/sliggoo,,,
Goomy,0704,2.8 kg (6.2 lbs),0.3 m (1′00″),Dragon,"Sap Sipper,Hydration,Gooey"," Boosts Attack when hit by a Grass-type move., Heals status problems if it is raining., Contact with the Pokémon lowers the attacker's Speed stat."," https://pokemondb.net//ability/sap-sipper, https://pokemondb.net//ability/hydration, https://pokemondb.net//ability/gooey",https://pokemondb.net/pokedex/goomy,,,
Carbink,0703,5.7 kg (12.6 lbs),0.3 m (1′00″),"Rock,Fairy","Clear Body,Sturdy"," Prevents other Pokémon from lowering its stats., It cannot be knocked out with one hit."," https://pokemondb.net//ability/clear-body, https://pokemondb.net//ability/sturdy",https://pokemondb.net/pokedex/carbink,,,
Dedenne,0702,2.2 kg (4.9 lbs),0.2 m (0′08″),"Electric,Fairy","Cheek Pouch,Pickup,Plus"," Restores additional HP when a Berry is consumed., The Pokémon may pick up items., Ups Sp. Atk if another Pokémon has Plus or Minus."," https://pokemondb.net//ability/cheek-pouch, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/plus",https://pokemondb.net/pokedex/dedenne,,,
Hawlucha,0701,21.5 kg (47.4 lbs),0.8 m (2′07″),"Fighting,Flying","Limber,Unburden,Mold Breaker"," The Pokémon is protected from paralysis., Raises Speed if a held item is used., Moves can be used regardless of Abilities."," https://pokemondb.net//ability/limber, https://pokemondb.net//ability/unburden, https://pokemondb.net//ability/mold-breaker",https://pokemondb.net/pokedex/hawlucha,,,
Noivern,0715,85.0 kg (187.4 lbs),1.5 m (4′11″),"Flying,Dragon","Frisk,Infiltrator,Telepathy"," The Pokémon can check a foe's held item., Passes through the foe's barrier and strikes., Anticipates an ally's attack and dodges it."," https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/infiltrator, https://pokemondb.net//ability/telepathy",https://pokemondb.net/pokedex/noivern,,,
Noibat,0714,8.0 kg (17.6 lbs),0.5 m (1′08″),"Flying,Dragon","Frisk,Infiltrator,Telepathy"," The Pokémon can check a foe's held item., Passes through the foe's barrier and strikes., Anticipates an ally's attack and dodges it."," https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/infiltrator, https://pokemondb.net//ability/telepathy",https://pokemondb.net/pokedex/noibat,Noivern, #0715, https://pokemondb.net//pokedex/noivern
Yveltal,0717,203.0 kg (447.5 lbs),5.8 m (19′00″),"Dark,Flying",Dark Aura, Raises power of Dark type moves for all Pokémon in battle., https://pokemondb.net//ability/dark-aura,https://pokemondb.net/pokedex/yveltal,,,
Xerneas,0716,215.0 kg (474.0 lbs),3.0 m (9′10″),Fairy,Fairy Aura, Raises power of Fairy type moves for all Pokémon in battle., https://pokemondb.net//ability/fairy-aura,https://pokemondb.net/pokedex/xerneas,,,
Avalugg,0713,505.0 kg (1113.3 lbs),2.0 m (6′07″),Ice,"Own Tempo,Ice Body,Sturdy,Strong Jaw,Ice Body,Sturdy"," Prevents the Pokémon from becoming confused., The Pokémon gradually regains HP in a hailstorm., It cannot be knocked out with one hit., Boosts the power of biting moves., The Pokémon gradually regains HP in a hailstorm., It cannot be knocked out with one hit."," https://pokemondb.net//ability/own-tempo, https://pokemondb.net//ability/ice-body, https://pokemondb.net//ability/sturdy, https://pokemondb.net//ability/strong-jaw, https://pokemondb.net//ability/ice-body, https://pokemondb.net//ability/sturdy",https://pokemondb.net/pokedex/avalugg,,,
Bergmite,0712,99.5 kg (219.4 lbs),1.0 m (3′03″),Ice,"Own Tempo,Ice Body,Sturdy"," Prevents the Pokémon from becoming confused., The Pokémon gradually regains HP in a hailstorm., It cannot be knocked out with one hit."," https://pokemondb.net//ability/own-tempo, https://pokemondb.net//ability/ice-body, https://pokemondb.net//ability/sturdy",https://pokemondb.net/pokedex/bergmite,,,
Gourgeist,0711,12.5 kg (27.6 lbs),0.9 m (2′11″),"Ghost,Grass","Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia"," The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep., The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep., The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep., The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep."," https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia",https://pokemondb.net/pokedex/gourgeist,,,
Pumpkaboo,0710,5.0 kg (11.0 lbs),0.4 m (1′04″),"Ghost,Grass","Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia"," The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep., The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep., The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep., The Pokémon may pick up items., The Pokémon can check a foe's held item., Prevents the Pokémon from falling asleep."," https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/frisk, https://pokemondb.net//ability/insomnia",https://pokemondb.net/pokedex/pumpkaboo,Gourgeist, #0711, https://pokemondb.net//pokedex/gourgeist
Primarina,0730,44.0 kg (97.0 lbs),1.8 m (5′11″),"Water,Fairy","Torrent,Liquid Voice"," Powers up Water-type moves in a pinch., All sound-based moves become Water-type moves."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/liquid-voice",https://pokemondb.net/pokedex/primarina,,,
Brionne,0729,17.5 kg (38.6 lbs),0.6 m (2′00″),Water,"Torrent,Liquid Voice"," Powers up Water-type moves in a pinch., All sound-based moves become Water-type moves."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/liquid-voice",https://pokemondb.net/pokedex/brionne,Primarina, #0730," https://pokemondb.net//pokedex/brionne, https://pokemondb.net//pokedex/primarina"
Vikavolt,0738,45.0 kg (99.2 lbs),1.5 m (4′11″),"Bug,Electric",Levitate, Gives immunity to Ground type moves., https://pokemondb.net//ability/levitate,https://pokemondb.net/pokedex/vikavolt,,,
Charjabug,0737,10.5 kg (23.1 lbs),0.5 m (1′08″),"Bug,Electric",Battery, Raises power of teammates' Special moves., https://pokemondb.net//ability/battery,https://pokemondb.net/pokedex/charjabug,Vikavolt, #0738," https://pokemondb.net//pokedex/charjabug, https://pokemondb.net//pokedex/vikavolt"
Grubbin,0736,4.4 kg (9.7 lbs),0.4 m (1′04″),Bug,Swarm, Powers up Bug-type moves in a pinch., https://pokemondb.net//ability/swarm,https://pokemondb.net/pokedex/grubbin,"Charjabug,Vikavolt"," #0737, #0738"," https://pokemondb.net//pokedex/charjabug, https://pokemondb.net//pokedex/vikavolt"
Gumshoos,0735,14.2 kg (31.3 lbs),0.7 m (2′04″),Normal,"Strong Jaw,Stakeout,Adaptability"," Boosts the power of biting moves., Deals double damage to Pokémon switching in., Powers up moves of the same type."," https://pokemondb.net//ability/strong-jaw, https://pokemondb.net//ability/stakeout, https://pokemondb.net//ability/adaptability",https://pokemondb.net/pokedex/gumshoos,,,
Yungoos,0734,6.0 kg (13.2 lbs),0.4 m (1′04″),Normal,"Strong Jaw,Stakeout,Adaptability"," Boosts the power of biting moves., Deals double damage to Pokémon switching in., Powers up moves of the same type."," https://pokemondb.net//ability/strong-jaw, https://pokemondb.net//ability/stakeout, https://pokemondb.net//ability/adaptability",https://pokemondb.net/pokedex/yungoos,Gumshoos, #0735, https://pokemondb.net//pokedex/gumshoos
Toucannon,0733,26.0 kg (57.3 lbs),1.1 m (3′07″),"Normal,Flying","Keen Eye,Skill Link,Sheer Force"," Prevents other Pokémon from lowering accuracy., Increases the frequency of multi-strike moves., Removes added effects to increase move damage."," https://pokemondb.net//ability/keen-eye, https://pokemondb.net//ability/skill-link, https://pokemondb.net//ability/sheer-force",https://pokemondb.net/pokedex/toucannon,,,
Lycanroc,0745,25.0 kg (55.1 lbs),0.8 m (2′07″),Rock,"Keen Eye,Sand Rush,Steadfast,Keen Eye,Vital Spirit,No Guard,Tough Claws"," Prevents other Pokémon from lowering accuracy., Boosts the Pokémon's Speed in a sandstorm., Raises Speed each time the Pokémon flinches., Prevents other Pokémon from lowering accuracy., Prevents the Pokémon from falling asleep., Ensures attacks by or against the Pokémon land., Boosts the power of contact moves."," https://pokemondb.net//ability/keen-eye, https://pokemondb.net//ability/sand-rush, https://pokemondb.net//ability/steadfast, https://pokemondb.net//ability/keen-eye, https://pokemondb.net//ability/vital-spirit, https://pokemondb.net//ability/no-guard, https://pokemondb.net//ability/tough-claws",https://pokemondb.net/pokedex/lycanroc,,,
Rockruff,0744,9.2 kg (20.3 lbs),0.5 m (1′08″),Rock,"Keen Eye,Vital Spirit,Steadfast,Own Tempo"," Prevents other Pokémon from lowering accuracy., Prevents the Pokémon from falling asleep., Raises Speed each time the Pokémon flinches., Prevents the Pokémon from becoming confused."," https://pokemondb.net//ability/keen-eye, https://pokemondb.net//ability/vital-spirit, https://pokemondb.net//ability/steadfast, https://pokemondb.net//ability/own-tempo",https://pokemondb.net/pokedex/rockruff,Lycanroc, #0745," https://pokemondb.net//pokedex/rockruff, https://pokemondb.net//pokedex/lycanroc"
Shiinotic,0756,11.5 kg (25.4 lbs),1.0 m (3′03″),"Grass,Fairy","Illuminate,Effect Spore,Rain Dish"," Raises the likelihood of meeting wild Pokémon., Contact may poison or cause paralysis or sleep., The Pokémon gradually regains HP in rain."," https://pokemondb.net//ability/illuminate, https://pokemondb.net//ability/effect-spore, https://pokemondb.net//ability/rain-dish",https://pokemondb.net/pokedex/shiinotic,,,
Morelull,0755,1.5 kg (3.3 lbs),0.2 m (0′08″),"Grass,Fairy","Illuminate,Effect Spore,Rain Dish"," Raises the likelihood of meeting wild Pokémon., Contact may poison or cause paralysis or sleep., The Pokémon gradually regains HP in rain."," https://pokemondb.net//ability/illuminate, https://pokemondb.net//ability/effect-spore, https://pokemondb.net//ability/rain-dish",https://pokemondb.net/pokedex/morelull,Shiinotic, #0756, https://pokemondb.net//pokedex/shiinotic
Lurantis,0754,18.5 kg (40.8 lbs),0.9 m (2′11″),Grass,"Leaf Guard,Contrary"," Prevents problems with status in sunny weather., Makes stat changes have an opposite effect."," https://pokemondb.net//ability/leaf-guard, https://pokemondb.net//ability/contrary",https://pokemondb.net/pokedex/lurantis,,,
Fomantis,0753,1.5 kg (3.3 lbs),0.3 m (1′00″),Grass,"Leaf Guard,Contrary"," Prevents problems with status in sunny weather., Makes stat changes have an opposite effect."," https://pokemondb.net//ability/leaf-guard, https://pokemondb.net//ability/contrary",https://pokemondb.net/pokedex/fomantis,Lurantis, #0754, https://pokemondb.net//pokedex/lurantis
Araquanid,0752,82.0 kg (180.8 lbs),1.8 m (5′11″),"Water,Bug","Water Bubble,Water Absorb"," Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns., Restores HP if hit by a Water-type move."," https://pokemondb.net//ability/water-bubble, https://pokemondb.net//ability/water-absorb",https://pokemondb.net/pokedex/araquanid,,,
Dewpider,0751,4.0 kg (8.8 lbs),0.3 m (1′00″),"Water,Bug","Water Bubble,Water Absorb"," Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns., Restores HP if hit by a Water-type move."," https://pokemondb.net//ability/water-bubble, https://pokemondb.net//ability/water-absorb",https://pokemondb.net/pokedex/dewpider,Araquanid, #0752, https://pokemondb.net//pokedex/araquanid
Oranguru,0765,76.0 kg (167.6 lbs),1.5 m (4′11″),"Normal,Psychic","Inner Focus,Telepathy,Symbiosis"," The Pokémon is protected from flinching., Anticipates an ally's attack and dodges it., The Pokémon can pass an item to an ally."," https://pokemondb.net//ability/inner-focus, https://pokemondb.net//ability/telepathy, https://pokemondb.net//ability/symbiosis",https://pokemondb.net/pokedex/oranguru,,,
Comfey,0764,0.3 kg (0.7 lbs),0.1 m (0′04″),Fairy,"Flower Veil,Triage,Natural Cure"," Prevents lowering of ally Grass-type Pokémon's stats., Gives priority to restorative moves., All status problems heal when it switches out."," https://pokemondb.net//ability/flower-veil, https://pokemondb.net//ability/triage, https://pokemondb.net//ability/natural-cure",https://pokemondb.net/pokedex/comfey,,,
Type: Null,0772,120.5 kg (265.7 lbs),1.9 m (6′03″),Normal,Battle Armor, The Pokémon is protected against critical hits., https://pokemondb.net//ability/battle-armor,https://pokemondb.net/pokedex/type-null,Silvally, #0773, https://pokemondb.net//pokedex/silvally
